year,actual,forecast,percentage_change,energy_type
2022,38.068209251897365,31.389166706009476,-17.54493493952568,biofuel_consumption
2022,38.068209251897365,31.90273513664075,-16.195860631267596,biofuel_consumption
2022,38.068209251897365,32.38097162247212,-14.939598529031908,biofuel_consumption
2022,38.068209251897365,31.97500478856837,-16.006018100326855,biofuel_consumption
2022,38.068209251897365,31.249160745698884,-17.91271152545378,biofuel_consumption
2022,28.539,1655.3353213668397,5700.256916384034,coal_consumption
2022,28.679,1566.302567469441,5361.496452001259,coal_consumption
2022,49.942,1580.9957017948477,3065.663573334764,coal_consumption
2022,0.978,1537.525593531535,157111.20588257004,coal_consumption
2022,1880.5020994464944,1578.5170985534014,-16.058743086858506,coal_consumption
2022,698.482,1030.3592223149549,47.514069412662735,gas_consumption
2022,483.177,878.9418985348354,81.90888608829383,gas_consumption
2022,291.98,968.0087775935601,231.53256305005826,gas_consumption
2022,285.143,966.4779685240775,238.94500952998237,gas_consumption
2022,1478.561465004794,974.1960784195669,-34.11189852588183,gas_consumption
2022,572.144777879175,608.5273984143391,6.358988483653942,renewables_consumption
2022,14.335,544.2101853779964,3696.3738080083453,renewables_consumption
2022,3.761,530.0041095949572,13992.106078036619,renewables_consumption
2022,572.144777879175,465.06550941608214,-18.715414804625855,renewables_consumption
2022,572.144777879175,542.455605249429,-5.189101391399166,renewables_consumption
2022,18.135,24.435393007530003,34.741621216046326,solar_consumption
2022,0.48,131.8021806222527,27358.787629635983,solar_consumption
2022,1.715,72.84811130557338,4147.703283123812,solar_consumption
2022,3.815,25.193313328698416,560.3751855491065,solar_consumption
2022,21.547749092462094,71.75038323442942,232.9831943306291,solar_consumption
