country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy,continent
Iraq,1981,IRQ,14067267.0,110104428544.0,46.09169376073268,2.7190744324525493,133.55845916594265,38.068209251897365,64.71680037914692,10.966685362764611,1.9540351420247632,0.4197873455634594,443.17001200387216,24.17850152149106,31.796709877704604,6282.878509644235,1880.5020994464946,702.8488123076924,325.6825779019243,18.829854613233927,0.0,0.0,0.0,17.11100078015291,20.586331940672654,591.0580707213579,769.7981989987484,13.681077968709925,-6.521,-6.61,6735.592,0.861,2.337808403699236,117.9758958204653,2305.6748740765615,538.2464264122137,30736.06794970344,6403.12849133414,64.6788570759869,85.23254543555461,-51.6,-6.279,5.89,865.9627770940169,173.49086887026692,418.703,-51.6,-6.279,418.703,5.89,18.443268840692777,20.373768957593487,287.47233886166606,-11.594,-0.237,1.804,43.363,0.61,128.224,25.649834236804562,9.447981407979945,-11.594,-0.237,1.804,0.0,0.0,128.224,35.214349431818185,14.767454982243576,0.13263519791860254,0.6002814348406791,33.61789217673287,0.0,0.0,0.0,0.0,0.0,6.022099365126237,4.4688164754953075,-0.108,-0.094,87.058,778.6413305982906,47.9268147113594,6188.666,-66.046,-1006.796,36793.5,517.584,29.124589483538774,44.272445372884896,48.54314764965849,13.485537849093582,2.1017003458947756,33.84142462665539,2.9851590396059917,107.55899100594992,64.72391509253958,478.5507873282087,2.4588624277456645,0.7389159192825113,0.8542741411327763,3869.5609160589606,94.751,-11.594,-0.237,1.804,1162.6456724429418,166.94546242054096,128.224,30.11359799360279,11.186422185084604,117.54530461393598,4.619119729080183,21.547749092462098,19.216771725216898,7.016747863247863,71.55519426433916,0.622750474521828,0.21039504337050807,267.541206382097,7.314173744341454,53.42293781618887,62.811827600849256,17.5611532016008,232.1089490774908,1.4049098170200407,0.6514125822970008,Asia
Iraq,1982,IRQ,14467687.0,109191241728.0,46.09169376073268,2.7190744324525493,133.55845916594265,38.068209251897365,64.71680037914692,10.966685362764611,1.9540351420247632,0.4197873455634594,443.17001200387216,24.17850152149106,31.796709877704604,6282.878509644235,1880.5020994464946,702.8488123076924,325.6825779019243,18.829854613233927,0.0,0.0,0.0,17.11100078015291,20.586331940672654,591.0580707213579,769.7981989987484,13.681077968709925,3.565,3.378,6782.682,0.899,2.337808403699236,117.9758958204653,2305.6748740765615,538.2464264122137,30736.06794970344,6403.12849133414,64.6788570759869,85.23254543555461,9.677,0.57,6.46,865.9627770940169,173.49086887026692,446.512,9.677,0.57,446.512,6.46,18.443268840692777,20.373768957593487,287.47233886166606,-1.639,-0.03,1.774,41.472,0.6,122.631,25.649834236804562,9.447981407979945,-1.639,-0.03,1.774,0.0,0.0,122.631,35.214349431818185,14.767454982243576,0.13263519791860254,0.6002814348406791,33.61789217673287,0.0,0.0,0.0,0.0,0.0,6.022099365126237,4.4688164754953075,3.26,2.838,89.896,778.6413305982906,47.9268147113594,6213.538,8.988,46.519,38990.512,564.103,29.124589483538774,44.272445372884896,48.54314764965849,13.485537849093582,2.1017003458947756,33.84142462665539,2.9851590396059917,107.55899100594992,64.72391509253958,478.5507873282087,2.4588624277456645,0.7389159192825113,0.8542741411327763,3869.5609160589606,98.13,-1.639,-0.03,1.774,1162.6456724429418,166.94546242054096,122.631,30.11359799360279,11.186422185084604,117.54530461393598,4.619119729080183,21.547749092462098,19.216771725216898,7.016747863247863,71.55519426433916,0.622750474521828,0.21039504337050807,267.541206382097,7.314173744341454,53.42293781618887,62.811827600849256,17.5611532016008,232.1089490774908,1.4049098170200407,0.6514125822970008,Asia
Iraq,1983,IRQ,14903738.0,99708346368.0,46.09169376073268,2.7190744324525493,133.55845916594265,38.068209251897365,64.71680037914692,10.966685362764611,1.9540351420247632,0.4197873455634594,443.17001200387216,24.17850152149106,31.796709877704604,6282.878509644235,1880.5020994464946,702.8488123076924,325.6825779019243,18.829854613233927,0.0,0.0,0.0,17.11100078015291,20.586331940672654,591.0580707213579,769.7981989987484,13.681077968709925,14.865,14.587,7562.958,1.13,2.337808403699236,117.9758958204653,2305.6748740765615,538.2464264122137,30736.06794970344,6403.12849133414,64.6788570759869,85.23254543555461,-30.882,-1.995,4.465,865.9627770940169,173.49086887026692,299.589,-30.882,-1.995,299.589,4.465,18.443268840692777,20.373768957593487,287.47233886166606,0.0,0.0,1.774,40.258,0.6,119.044,25.649834236804562,9.447981407979945,0.0,0.0,1.774,0.0,0.0,119.044,35.214349431818185,14.767454982243576,0.13263519791860254,0.6002814348406791,33.61789217673287,0.0,0.0,0.0,0.0,0.0,6.022099365126237,4.4688164754953075,18.445,16.582,106.477,778.6413305982906,47.9268147113594,7144.326,12.061,68.038,42414.879,632.14,29.124589483538774,44.272445372884896,48.54314764965849,13.485537849093582,2.1017003458947756,33.84142462665539,2.9851590396059917,107.55899100594992,64.72391509253958,478.5507873282087,2.4588624277456645,0.7389159192825113,0.8542741411327763,3869.5609160589606,112.716,0.0,0.0,1.774,1162.6456724429418,166.94546242054096,119.044,30.11359799360279,11.186422185084604,117.54530461393598,4.619119729080183,21.547749092462098,19.216771725216898,7.016747863247863,71.55519426433916,0.622750474521828,0.21039504337050807,267.541206382097,7.314173744341454,53.42293781618887,62.811827600849256,17.5611532016008,232.1089490774908,1.4049098170200407,0.6514125822970008,Asia
Iraq,1984,IRQ,15377037.0,99953483776.0,46.09169376073268,2.7190744324525493,133.55845916594265,38.068209251897365,64.71680037914692,10.966685362764611,1.9540351420247632,0.4197873455634594,443.17001200387216,24.17850152149106,31.796709877704604,6282.878509644235,1880.5020994464946,702.8488123076924,325.6825779019243,18.829854613233927,0.0,0.0,0.0,17.11100078015291,20.586331940672654,591.0580707213579,769.7981989987484,13.681077968709925,10.803,12.177,8122.071,1.25,2.337808403699236,117.9758958204653,2305.6748740765615,538.2464264122137,30736.06794970344,6403.12849133414,64.6788570759869,85.23254543555461,25.532,1.14,5.605,865.9627770940169,173.49086887026692,364.505,25.532,1.14,364.505,5.605,18.443268840692777,20.373768957593487,287.47233886166606,1.667,0.03,1.804,39.67,0.61,117.302,25.649834236804562,9.447981407979945,1.667,0.03,1.804,0.0,0.0,117.302,35.214349431818185,14.767454982243576,0.13263519791860254,0.6002814348406791,33.61789217673287,0.0,0.0,0.0,0.0,0.0,6.022099365126237,4.4688164754953075,10.338,11.007,117.485,778.6413305982906,47.9268147113594,7640.264,11.378,71.923,45786.637,704.063,29.124589483538774,44.272445372884896,48.54314764965849,13.485537849093582,2.1017003458947756,33.84142462665539,2.9851590396059917,107.55899100594992,64.72391509253958,478.5507873282087,2.4588624277456645,0.7389159192825113,0.8542741411327763,3869.5609160589606,124.893,1.667,0.03,1.804,1162.6456724429418,166.94546242054096,117.302,30.11359799360279,11.186422185084604,117.54530461393598,4.619119729080183,21.547749092462098,19.216771725216898,7.016747863247863,71.55519426433916,0.622750474521828,0.21039504337050807,267.541206382097,7.314173744341454,53.42293781618887,62.811827600849256,17.5611532016008,232.1089490774908,1.4049098170200407,0.6514125822970008,Asia
Iraq,1985,IRQ,15753858.0,98367610880.0,46.09169376073268,2.7190744324525493,133.55845916594265,38.068209251897365,64.71680037914692,10.966685362764611,1.9540351420247632,0.4197873455634594,443.17001200387216,24.17850152149106,31.796709877704604,6282.878509644235,1880.5020994464946,702.8488123076924,325.6825779019243,18.829854613233927,0.0,0.0,0.0,17.11100078015291,20.586331940672654,591.0580707213579,20.973,14.64,14.708,18.369,9093.793,1.456,2.337808403699236,117.9758958204653,2305.6748740765615,538.2464264122137,30736.06794970344,6403.12849133414,64.6788570759869,85.23254543555461,44.068,2.47,8.075,865.9627770940169,173.49086887026692,512.573,44.068,2.47,512.573,8.075,18.443268840692777,20.373768957593487,287.47233886166606,0.0,0.0,1.804,38.721,0.61,114.497,2.909,9.447981407979945,0.0,0.0,1.804,0.0,0.0,114.497,0.0,14.767454982243576,0.13263519791860254,0.6002814348406791,33.61789217673287,0.0,0.0,0.0,0.0,0.0,0.0,4.4688164754953075,13.533,15.899,133.384,778.6413305982906,47.9268147113594,8466.724,15.363,108.164,51557.301,812.226,29.124589483538774,44.272445372884896,48.54314764965849,13.485537849093582,2.1017003458947756,33.84142462665539,2.9851590396059917,107.55899100594992,64.72391509253958,478.5507873282087,2.4588624277456645,0.7389159192825113,0.8542741411327763,1331.293,143.262,0.0,0.0,1.804,1162.6456724429418,166.94546242054096,114.497,30.11359799360279,11.186422185084604,117.54530461393598,4.619119729080183,21.547749092462098,19.216771725216898,7.016747863247863,71.55519426433916,0.622750474521828,0.21039504337050807,267.541206382097,7.314173744341454,53.42293781618887,62.811827600849256,17.5611532016008,232.1089490774908,1.4049098170200407,0.6514125822970008,Asia
Iraq,1986,IRQ,16148228.0,97354063872.0,46.09169376073268,2.7190744324525493,133.55845916594265,38.068209251897365,64.71680037914692,10.966685362764611,1.9540351420247632,0.4197873455634594,443.17001200387216,24.17850152149106,31.796709877704604,6282.878509644235,1880.5020994464946,702.8488123076924,325.6825779019243,18.829854613233927,0.0,0.0,0.0,17.11100078015291,20.586331940672654,591.0580707213579,22.287,13.507,15.179,21.746,10218.363,1.695,2.337808403699236,117.9758958204653,2305.6748740765615,538.2464264122137,30736.06794970344,6403.12849133414,64.6788570759869,85.23254543555461,82.353,6.65,14.725,865.9627770940169,173.49086887026692,911.865,82.353,6.65,911.865,14.725,18.443268840692777,20.373768957593487,287.47233886166606,-1.639,-0.03,1.774,37.156,0.6,109.869,2.692,9.447981407979945,-1.639,-0.03,1.774,0.0,0.0,109.869,0.0,14.767454982243576,0.13263519791860254,0.6002814348406791,33.61789217673287,0.0,0.0,0.0,0.0,0.0,0.0,4.4688164754953075,11.34,15.126,148.509,778.6413305982906,47.9268147113594,9196.629,33.435,271.571,67115.57,1083.797,29.124589483538774,44.272445372884896,48.54314764965849,13.485537849093582,2.1017003458947756,33.84142462665539,2.9851590396059917,107.55899100594992,64.72391509253958,478.5507873282087,2.4588624277456645,0.7389159192825113,0.8542741411327763,1380.151,165.008,-1.639,-0.03,1.774,1162.6456724429418,166.94546242054096,109.869,30.11359799360279,11.186422185084604,117.54530461393598,4.619119729080183,21.547749092462098,19.216771725216898,7.016747863247863,71.55519426433916,0.622750474521828,0.21039504337050807,267.541206382097,7.314173744341454,53.42293781618887,62.811827600849256,17.5611532016008,232.1089490774908,1.4049098170200407,0.6514125822970008,Asia
Iraq,1987,IRQ,16598017.0,100119379968.0,46.09169376073268,2.7190744324525493,133.55845916594265,38.068209251897365,64.71680037914692,10.966685362764611,1.9540351420247632,0.4197873455634594,443.17001200387216,24.17850152149106,31.796709877704604,6282.878509644235,1880.5020994464946,702.8488123076924,325.6825779019243,18.829854613233927,0.0,0.0,0.0,17.11100078015291,20.586331940672654,591.0580707213579,22.51,11.563,17.972,29.656,11728.18,1.944,2.337808403699236,117.9758958204653,2305.6748740765615,538.2464264122137,30736.06794970344,6403.12849133414,64.6788570759869,85.23254543555461,141.935,20.9,35.625,865.9627770940169,173.49086887026692,2146.341,141.935,20.9,2146.341,35.625,18.443268840692777,20.373768957593487,287.47233886166606,333.333,5.914,7.688,156.645,2.6,463.198,11.55,9.447981407979945,333.333,5.914,7.688,0.0,0.0,463.198,0.0,14.767454982243576,0.13263519791860254,0.6002814348406791,33.61789217673287,0.0,0.0,0.0,0.0,0.0,0.0,4.4688164754953075,1.914,2.842,151.351,778.6413305982906,47.9268147113594,9118.641,25.825,279.891,82159.695,1363.688,29.124589483538774,44.272445372884896,48.54314764965849,13.485537849093582,2.1017003458947756,33.84142462665539,2.9851590396059917,107.55899100594992,64.72391509253958,478.5507873282087,2.4588624277456645,0.7389159192825113,0.8542741411327763,1356.186,194.665,333.333,5.914,7.688,1162.6456724429418,166.94546242054096,463.198,30.11359799360279,11.186422185084604,117.54530461393598,4.619119729080183,21.547749092462098,19.216771725216898,7.016747863247863,71.55519426433916,0.622750474521828,0.21039504337050807,267.541206382097,7.314173744341454,53.42293781618887,62.811827600849256,17.5611532016008,232.1089490774908,1.4049098170200407,0.6514125822970008,Asia
Iraq,1988,IRQ,16987352.0,78971518976.0,46.09169376073268,2.7190744324525493,133.55845916594265,38.068209251897365,64.71680037914692,10.966685362764611,1.9540351420247632,0.4197873455634594,443.17001200387216,24.17850152149106,31.796709877704604,6282.878509644235,1880.5020994464946,702.8488123076924,325.6825779019243,18.829854613233927,0.0,0.0,0.0,17.11100078015291,20.586331940672654,591.0580707213579,23.45,10.403,15.8,30.757,13269.976,2.854,2.337808403699236,117.9758958204653,2305.6748740765615,538.2464264122137,30736.06794970344,6403.12849133414,64.6788570759869,85.23254543555461,49.333,17.575,53.2,865.9627770940169,173.49086887026692,3131.742,49.333,17.575,3131.742,53.2,18.443268840692777,20.373768957593487,287.47233886166606,0.0,0.0,7.688,153.055,2.6,452.582,11.087,9.447981407979945,0.0,0.0,7.688,0.0,0.0,452.582,0.0,14.767454982243576,0.13263519791860254,0.6002814348406791,33.61789217673287,0.0,0.0,0.0,0.0,0.0,0.0,4.4688164754953075,8.71,13.182,164.534,778.6413305982906,47.9268147113594,9685.652,16.582,226.124,93588.0,1589.812,29.124589483538774,44.272445372884896,48.54314764965849,13.485537849093582,2.1017003458947756,33.84142462665539,2.9851590396059917,107.55899100594992,64.72391509253958,478.5507873282087,2.4588624277456645,0.7389159192825113,0.8542741411327763,1380.439,225.422,0.0,0.0,7.688,1162.6456724429418,166.94546242054096,452.582,30.11359799360279,11.186422185084604,117.54530461393598,4.619119729080183,21.547749092462098,19.216771725216898,7.016747863247863,71.55519426433916,0.622750474521828,0.21039504337050807,267.541206382097,7.314173744341454,53.42293781618887,62.811827600849256,17.5611532016008,232.1089490774908,1.4049098170200407,0.6514125822970008,Asia
Iraq,1989,IRQ,17442600.0,71995359232.0,46.09169376073268,2.7190744324525493,133.55845916594265,38.068209251897365,64.71680037914692,10.966685362764611,1.9540351420247632,0.4197873455634594,443.17001200387216,24.17850152149106,31.796709877704604,6282.878509644235,1880.5020994464946,702.8488123076924,325.6825779019243,18.829854613233927,0.0,0.0,0.0,17.11100078015291,20.586331940672654,591.0580707213579,23.86,9.322,13.539,30.521,14673.412,3.555,2.337808403699236,117.9758958204653,2305.6748740765615,538.2464264122137,30736.06794970344,6403.12849133414,64.6788570759869,85.23254543555461,15.179,8.075,61.275,865.9627770940169,173.49086887026692,3512.951,15.179,8.075,3512.951,61.275,18.443268840692777,20.373768957593487,287.47233886166606,0.0,0.0,7.688,149.06,2.6,440.77,10.897,9.447981407979945,0.0,0.0,7.688,0.0,0.0,440.77,0.0,14.767454982243576,0.13263519791860254,0.6002814348406791,33.61789217673287,0.0,0.0,0.0,0.0,0.0,0.0,4.4688164754953075,13.642,22.446,186.979,778.6413305982906,47.9268147113594,10719.69,1.659,26.375,92657.492,1616.188,29.124589483538774,44.272445372884896,48.54314764965849,13.485537849093582,2.1017003458947756,33.84142462665539,2.9851590396059917,107.55899100594992,64.72391509253958,478.5507873282087,2.4588624277456645,0.7389159192825113,0.8542741411327763,1367.915,255.942,0.0,0.0,7.688,1162.6456724429418,166.94546242054096,440.77,30.11359799360279,11.186422185084604,117.54530461393598,4.619119729080183,21.547749092462098,19.216771725216898,7.016747863247863,71.55519426433916,0.622750474521828,0.21039504337050807,267.541206382097,7.314173744341454,53.42293781618887,62.811827600849256,17.5611532016008,232.1089490774908,1.4049098170200407,0.6514125822970008,Asia
Iraq,1990,IRQ,17658384.0,71051763712.0,46.09169376073268,2.7190744324525493,133.55845916594265,38.068209251897365,64.71680037914692,10.966685362764611,1.9540351420247632,0.4197873455634594,443.17001200387216,24.17850152149106,31.796709877704604,6282.878509644235,1880.5020994464946,702.8488123076924,325.6825779019243,18.829854613233927,0.0,0.0,0.0,17.11100078015291,20.586331940672654,591.0580707213579,28.373,11.935,-7.118,-18.219,13462.373,3.346,2.337808403699236,117.9758958204653,2305.6748740765615,538.2464264122137,30736.06794970344,6403.12849133414,64.6788570759869,85.23254543555461,-38.295,-23.465,37.81,865.9627770940169,173.49086887026692,2141.192,-38.295,-23.465,2141.192,37.81,18.443268840692777,20.373768957593487,287.47233886166606,78.856,6.063,13.751,263.346,4.65,778.711,16.39,9.447981407979945,78.856,6.063,13.751,263.346,4.65,778.711,16.39,14.767454982243576,0.13263519791860254,0.6002814348406791,33.61789217673287,0.0,0.0,0.0,0.0,0.0,0.0,4.4688164754953075,-0.437,-0.816,186.163,778.6413305982906,47.9268147113594,10542.469,-24.226,-391.538,69352.297,1224.65,29.124589483538774,44.272445372884896,0.0,0.0,2.1017003458947756,33.84142462665539,2.9851590396059917,0.0,64.72391509253958,0.0,0.0,0.7389159192825113,0.8542741411327763,1606.782,237.724,78.856,6.063,13.751,263.346,4.65,778.711,16.39,11.186422185084604,117.54530461393598,4.619119729080183,0.0,0.0,0.0,0.0,0.0,0.21039504337050807,267.541206382097,7.314173744341454,0.0,0.0,0.0,0.0,0.0,0.6514125822970008,Asia
Iraq,1991,IRQ,17846384.0,28285614080.0,46.09169376073268,2.7190744324525493,133.55845916594265,38.068209251897365,64.71680037914692,10.966685362764611,1.9540351420247632,0.4197873455634594,443.17001200387216,24.17850152149106,31.796709877704604,6282.878509644235,1880.5020994464946,702.8488123076924,325.6825779019243,18.829854613233927,0.0,0.0,0.0,17.11100078015291,20.586331940672654,591.0580707213579,13.359,8.904,-36.888,-87.692,8406.837,5.304,2.337808403699236,117.9758958204653,2305.6748740765615,538.2464264122137,30736.06794970344,6403.12849133414,64.6788570759869,85.23254543555461,-56.281,-21.28,16.53,865.9627770940169,173.49086887026692,926.238,-56.281,-21.28,926.238,16.53,18.443268840692777,20.373768957593487,287.47233886166606,-53.87,-7.407,6.343,120.203,2.145,355.438,16.058,9.447981407979945,-53.87,-7.407,6.343,120.203,2.145,355.438,16.058,14.767454982243576,0.13263519791860254,0.6002814348406791,33.61789217673287,0.0,0.0,0.0,0.0,0.0,0.0,4.4688164754953075,-31.695,-59.005,127.158,778.6413305982906,47.9268147113594,7125.16,-86.759,-1062.493,9086.216,162.156,29.124589483538774,44.272445372884896,0.0,0.0,2.1017003458947756,33.84142462665539,0.0,0.0,64.72391509253958,0.0,0.0,0.7389159192825113,0.8542741411327763,748.575,150.032,-53.87,-7.407,6.343,120.203,2.145,355.438,16.058,11.186422185084604,117.54530461393598,0.0,0.0,0.0,0.0,0.0,0.0,0.21039504337050807,267.541206382097,0.0,0.0,0.0,0.0,0.0,0.0,0.6514125822970008,Asia
Iraq,1992,IRQ,18385682.0,39202230272.0,46.09169376073268,2.7190744324525493,133.55845916594265,38.068209251897365,64.71680037914692,10.966685362764611,1.9540351420247632,0.4197873455634594,443.17001200387216,24.17850152149106,31.796709877704604,6282.878509644235,1880.5020994464946,702.8488123076924,325.6825779019243,18.829854613233927,0.0,0.0,0.0,17.11100078015291,20.586331940672654,591.0580707213579,21.912,9.204,58.69,88.054,12949.507,6.073,2.337808403699236,117.9758958204653,2305.6748740765615,538.2464264122137,30736.06794970344,6403.12849133414,64.6788570759869,85.23254543555461,30.46,5.035,21.565,865.9627770940169,173.49086887026692,1172.923,30.46,5.035,1172.923,21.565,18.443268840692777,20.373768957593487,287.47233886166606,143.292,9.089,15.433,283.866,5.219,839.388,23.818,9.447981407979945,143.292,9.089,15.433,283.866,5.219,839.388,23.818,14.767454982243576,0.13263519791860254,0.6002814348406791,33.61789217673287,0.0,0.0,0.0,0.0,0.0,0.0,4.4688164754953075,58.14,73.929,201.088,778.6413305982906,47.9268147113594,10937.194,87.526,141.928,16539.205,304.085,29.124589483538774,44.272445372884896,0.0,0.0,2.1017003458947756,33.84142462665539,0.0,0.0,64.72391509253958,0.0,0.0,0.7389159192825113,0.8542741411327763,1191.81,238.086,143.292,9.089,15.433,283.866,5.219,839.388,23.818,11.186422185084604,117.54530461393598,0.0,0.0,0.0,0.0,0.0,0.0,0.21039504337050807,267.541206382097,0.0,0.0,0.0,0.0,0.0,0.0,0.6514125822970008,Asia
Iraq,1993,IRQ,19295822.0,42079948800.0,46.09169376073268,2.7190744324525493,133.55845916594265,38.068209251897365,64.71680037914692,10.966685362764611,1.9540351420247632,0.4197873455634594,443.17001200387216,24.17850152149106,31.796709877704604,6282.878509644235,1880.5020994464946,702.8488123076924,325.6825779019243,18.829854613233927,0.0,0.0,0.0,17.11100078015291,20.586331940672654,591.0580707213579,27.09,8.563,32.872,78.264,16394.721,7.518,2.337808403699236,117.9758958204653,2305.6748740765615,538.2464264122137,30736.06794970344,6403.12849133414,64.6788570759869,85.23254543555461,12.335,2.66,24.225,865.9627770940169,173.49086887026692,1255.453,12.335,2.66,1255.453,24.225,18.443268840692777,20.373768957593487,287.47233886166606,18.062,2.787,18.22,319.33,6.162,944.255,22.746,9.447981407979945,18.062,2.787,18.22,319.33,6.162,944.255,22.746,14.767454982243576,0.13263519791860254,0.6002814348406791,33.61789217673287,0.0,0.0,0.0,0.0,0.0,0.0,4.4688164754953075,36.211,72.817,273.904,778.6413305982906,47.9268147113594,14195.014,-14.589,-44.363,13459.964,259.721,29.124589483538774,44.272445372884896,0.0,0.0,2.1017003458947756,33.84142462665539,0.0,0.0,64.72391509253958,0.0,0.0,0.7389159192825113,0.8542741411327763,1403.909,316.35,18.062,2.787,18.22,319.33,6.162,944.255,22.746,11.186422185084604,117.54530461393598,0.0,0.0,0.0,0.0,0.0,0.0,0.21039504337050807,267.541206382097,0.0,0.0,0.0,0.0,0.0,0.0,0.6514125822970008,Asia
Iraq,1994,IRQ,20248074.0,42891943936.0,46.09169376073268,2.7190744324525493,133.55845916594265,38.068209251897365,64.71680037914692,10.966685362764611,1.9540351420247632,0.4197873455634594,443.17001200387216,24.17850152149106,31.796709877704604,6282.878509644235,1880.5020994464946,702.8488123076924,325.6825779019243,18.829854613233927,0.0,0.0,0.0,17.11100078015291,20.586331940672654,591.0580707213579,26.663,7.446,13.191,41.73,17684.621,8.348,2.337808403699236,117.9758958204653,2305.6748740765615,538.2464264122137,30736.06794970344,6403.12849133414,64.6788570759869,85.23254543555461,24.314,5.89,30.115,865.9627770940169,173.49086887026692,1487.302,24.314,5.89,1487.302,30.115,18.443268840692777,20.373768957593487,287.47233886166606,1.396,0.254,18.475,308.561,6.248,912.411,23.432,9.447981407979945,1.396,0.254,18.475,308.561,6.248,912.411,23.432,14.767454982243576,0.13263519791860254,0.6002814348406791,33.61789217673287,0.0,0.0,0.0,0.0,0.0,0.0,4.4688164754953075,12.992,35.585,309.49,778.6413305982906,47.9268147113594,15284.907,11.029,28.643,14241.575,288.364,29.124589483538774,44.272445372884896,0.0,0.0,2.1017003458947756,33.84142462665539,0.0,0.0,64.72391509253958,0.0,0.0,0.7389159192825113,0.8542741411327763,1316.831,358.079,1.396,0.254,18.475,308.561,6.248,912.411,23.432,11.186422185084604,117.54530461393598,0.0,0.0,0.0,0.0,0.0,0.0,0.21039504337050807,267.541206382097,0.0,0.0,0.0,0.0,0.0,0.0,0.6514125822970008,Asia
Iraq,1995,IRQ,20948856.0,41889726464.0,46.09169376073268,2.7190744324525493,133.55845916594265,38.068209251897365,64.71680037914692,10.966685362764611,1.9540351420247632,0.4197873455634594,443.17001200387216,24.17850152149106,31.796709877704604,6282.878509644235,1880.5020994464946,702.8488123076924,325.6825779019243,18.829854613233927,0.0,0.0,0.0,17.11100078015291,20.586331940672654,591.0580707213579,26.498,7.428,-0.377,-1.348,17028.674,8.516,2.337808403699236,117.9758958204653,2305.6748740765615,538.2464264122137,30736.06794970344,6403.12849133414,64.6788570759869,85.23254543555461,0.0,0.0,30.115,865.9627770940169,173.49086887026692,1437.549,0.0,0.0,1437.549,30.115,18.443268840692777,20.373768957593487,287.47233886166606,13.956,2.578,21.053,339.861,7.12,1004.966,26.869,9.447981407979945,13.956,2.578,21.053,339.861,7.12,1004.966,26.869,14.767454982243576,0.13263519791860254,0.6002814348406791,33.61789217673287,0.0,0.0,0.0,0.0,0.0,0.0,4.4688164754953075,-1.269,-3.927,305.563,778.6413305982906,47.9268147113594,14586.158,4.967,14.322,14448.815,302.686,29.124589483538774,44.272445372884896,0.0,0.0,2.1017003458947756,33.84142462665539,0.0,0.0,64.72391509253958,0.0,0.0,0.7389159192825113,0.8542741411327763,1264.887,356.731,13.956,2.578,21.053,339.861,7.12,1004.966,26.869,11.186422185084604,117.54530461393598,0.0,0.0,0.0,0.0,0.0,0.0,0.21039504337050807,267.541206382097,0.0,0.0,0.0,0.0,0.0,0.0,0.6514125822970008,Asia
