year,actual,forecast,percentage_change,energy_type
2022,3.637,28.89490501053055,694.4708553898969,biofuel_consumption
2022,38.068209251897365,32.11573378501786,-15.63634219695487,biofuel_consumption
2022,38.068209251897365,31.175938536643194,-18.105056294211295,biofuel_consumption
2022,38.068209251897365,29.391255988661243,-22.793174235805832,biofuel_consumption
2022,0.0,30.957048579793806,inf,biofuel_consumption
2022,8.646,30.929829142441502,257.7357060194483,biofuel_consumption
2022,5.758,30.637930618082326,432.0932722834722,biofuel_consumption
2022,0.632,30.47975484730662,4722.746020143452,biofuel_consumption
2022,38.068209251897365,30.616347244310706,-19.575026390859847,biofuel_consumption
2022,38.068209251897365,30.581039124672277,-19.667776011428533,biofuel_consumption
2022,38.068209251897365,30.54869168414448,-19.752748331281445,biofuel_consumption
2022,38.068209251897365,30.54506034341668,-19.76228736870706,biofuel_consumption
2022,96.636,30.561260722421153,-68.37486990105018,biofuel_consumption
2022,36.198,30.55776415625415,-15.581622862439495,biofuel_consumption
2022,0.0,30.556219031307066,inf,biofuel_consumption
2022,0.411,30.557396320088937,7334.889615593415,biofuel_consumption
2022,20.923,30.559017443799068,46.0546644544237,biofuel_consumption
2022,27.874,30.55848707199167,9.630792394316108,biofuel_consumption
2022,38.068209251897365,30.558356375615062,-19.727360503326018,biofuel_consumption
2022,38.068209251897365,30.55847617795958,-19.727045798886614,biofuel_consumption
2022,38.068209251897365,30.558548604499002,-19.726855544233597,biofuel_consumption
2022,38.068209251897365,30.558449862708947,-19.72711492546533,biofuel_consumption
2022,38.068209251897365,30.558432775603382,-19.727159810964018,biofuel_consumption
2022,38.068209251897365,30.55844288033696,-19.727133267205392,biofuel_consumption
2022,38.068209251897365,30.558444246410108,-19.72712967871732,biofuel_consumption
2022,887.356,1597.4532076875403,80.0239371444539,coal_consumption
2022,1.279,1521.3658192475364,118849.63403029996,coal_consumption
2022,1.253,1526.2434509130235,121707.13893958689,coal_consumption
2022,4.814,1518.2763677920047,31438.76958437899,coal_consumption
2022,398.668,1521.1758839727568,281.5645810480793,coal_consumption
2022,798.562,1509.2936305807439,89.00143390002827,coal_consumption
2022,1365.525,1521.1798061867105,11.398898312862114,coal_consumption
2022,43.437,1510.269640851688,3376.9197708213924,coal_consumption
2022,569.25,1520.4125845174433,167.09048476371424,coal_consumption
2022,16.956,1511.0227870370657,8811.434224092154,coal_consumption
2022,21.139,1519.775695746532,7089.439877697772,coal_consumption
2022,1880.5020994464944,1511.6077774433388,-19.61679926396975,coal_consumption
2022,1216.511,1519.227918486119,24.884026407169284,coal_consumption
2022,5581.429,1512.1190599038862,-72.90803018539003,coal_consumption
2022,439.276,1518.7504614481556,245.739457982716,coal_consumption
2022,41.766,1512.5645124202924,3521.5211234503963,coal_consumption
2022,197.559,1518.3349558129275,668.5476013813228,coal_consumption
2022,24559.486,1512.9521025631634,-93.83964264332258,coal_consumption
2022,1880.5020994464944,1517.9734030458578,-19.27829256385,coal_consumption
2022,1880.5020994464944,1513.2893704251635,-19.527376711220693,coal_consumption
2022,28.539,1517.6587883095965,5217.841509196525,coal_consumption
2022,28.679,1513.582853358734,5177.669560858935,coal_consumption
2022,49.942,1517.3850178693465,2938.294457309172,coal_consumption
2022,0.978,1513.8382353173624,154689.18561527223,coal_consumption
2022,1880.5020994464944,1517.1467892865908,-19.322249641032222,coal_consumption
2022,4080.453,1036.505940459197,-74.5982629757236,gas_consumption
2022,1203.577,984.9308572124291,-18.16636100453655,gas_consumption
2022,217.857,985.7910058535126,352.49452891277883,gas_consumption
2022,130.594,1001.9211496630745,667.2030488866828,gas_consumption
2022,217.139,977.488910415612,350.1673630327173,gas_consumption
2022,619.28,974.7120878281205,57.394407671508944,gas_consumption
2022,1004.983,977.3525634945532,-2.749343671031919,gas_consumption
2022,112.869,976.3091231817447,764.9931541714241,gas_consumption
2022,77.972,977.0013959291092,1153.0156927218866,gas_consumption
2022,1478.561465004794,977.4012643053206,-33.89512120808914,gas_consumption
2022,2289.14,977.2369316518437,-57.30986607844676,gas_consumption
2022,1478.561465004794,977.2453857943807,-33.905663787118094,gas_consumption
2022,370.15,977.2451083002078,164.01326713500143,gas_consumption
2022,581.839,977.2190592015976,67.95351621352256,gas_consumption
2022,280.664,977.2238972266105,248.1828439794952,gas_consumption
2022,45.145,977.2264898707169,2064.639472523462,gas_consumption
2022,443.181,977.2255752858431,120.5025881718402,gas_consumption
2022,3757.047,977.2265568275512,-73.98950407520718,gas_consumption
2022,375.364,977.226656700016,160.3410707206914,gas_consumption
2022,1478.561465004794,977.2264150637632,-33.90694684034696,gas_consumption
2022,698.482,977.2264527038643,39.907177665833096,gas_consumption
2022,483.177,977.2264366578809,102.25019747584855,gas_consumption
2022,291.98,977.2264186394115,234.68950566456996,gas_consumption
2022,285.143,977.226430013911,242.7145081639427,gas_consumption
2022,1478.561465004794,977.2264311463381,-33.906945752629255,gas_consumption
2022,538.561,498.33751594794785,-7.468696034813546,renewables_consumption
2022,572.144777879175,482.7739503222245,-15.620316921921418,renewables_consumption
2022,572.144777879175,470.374935279275,-17.787428380827,renewables_consumption
2022,572.144777879175,472.3450935712403,-17.443082269818476,renewables_consumption
2022,35.026,479.31476457134164,1268.4541899484427,renewables_consumption
2022,152.302,470.6489036202066,209.02345577878597,renewables_consumption
2022,620.236,478.9673227760876,-22.776600717132254,renewables_consumption
2022,19.66,470.95296635898046,2295.488130004987,renewables_consumption
2022,341.049,478.87642788491553,40.41279343581584,renewables_consumption
2022,22.812,470.973713379546,1964.5875564595212,renewables_consumption
