year,actual,forecast,percentage_change,energy_type
2022,3.637,29.561305274564454,712.7936561606944,biofuel_consumption
2022,38.068209251897365,31.837356836769576,-16.367600519105675,biofuel_consumption
2022,38.068209251897365,30.62453099607173,-19.55352878978575,biofuel_consumption
2022,38.068209251897365,29.468420847135835,-22.590472664098076,biofuel_consumption
2022,0.0,30.982238285464906,inf,biofuel_consumption
2022,8.646,30.509135750795807,252.86994854031695,biofuel_consumption
2022,5.758,30.380191764175027,427.617085171501,biofuel_consumption
2022,0.632,30.372809155021024,4705.824233389402,biofuel_consumption
2022,38.068209251897365,30.48280419686059,-19.925825785090503,biofuel_consumption
2022,38.068209251897365,30.408281732366255,-20.12158614776273,biofuel_consumption
2022,38.068209251897365,30.420249053751558,-20.090149624688802,biofuel_consumption
2022,38.068209251897365,30.42427663307694,-20.07956972244352,biofuel_consumption
2022,96.636,30.42944813535614,-68.5112710218178,biofuel_consumption
2022,36.198,30.422175461630342,-15.956197962234539,biofuel_consumption
2022,0.0,30.42538483545539,inf,biofuel_consumption
2022,0.411,30.425098098777312,7302.700267342412,biofuel_consumption
2022,20.923,30.42519507774604,45.415069912278554,biofuel_consumption
2022,27.874,30.424685382795158,9.150769113852188,biofuel_consumption
2022,38.068209251897365,30.425089823827573,-20.077433581115585,biofuel_consumption
2022,38.068209251897365,30.424960187983107,-20.07777411681982,biofuel_consumption
2022,38.068209251897365,30.424976587764988,-20.077731036826822,biofuel_consumption
2022,38.068209251897365,30.42494996953325,-20.07780095929562,biofuel_consumption
2022,38.068209251897365,30.4249863003173,-20.077705523274954,biofuel_consumption
2022,38.068209251897365,30.424965913484396,-20.07775907670787,biofuel_consumption
2022,38.068209251897365,30.424971435742535,-20.07774457048799,biofuel_consumption
2022,887.356,1663.180113467794,87.43098750307587,coal_consumption
2022,1.279,1594.9000384604483,124598.98658799441,coal_consumption
2022,1.253,1506.5357723163283,120134.29946658648,coal_consumption
2022,4.814,1606.3098495170864,33267.46675357471,coal_consumption
2022,398.668,1578.2727578462466,295.88649147818404,coal_consumption
2022,798.562,1509.0678053492682,88.97315491461755,coal_consumption
2022,1365.525,1516.0613065407583,11.024060822083683,coal_consumption
2022,43.437,1520.5202642947181,3400.5186000292797,coal_consumption
2022,569.25,1515.335721756398,166.19863359796187,coal_consumption
2022,16.956,1517.477717004967,8849.502931145124,coal_consumption
2022,21.139,1520.8434433442346,7094.490956735109,coal_consumption
2022,1880.5020994464944,1520.304624179873,-19.154324548355557,coal_consumption
2022,1216.511,1520.0924296352598,24.95509121045842,coal_consumption
2022,5581.429,1520.356783323828,-72.76043853063744,coal_consumption
2022,439.276,1520.213456686547,246.07250491411935,coal_consumption
2022,41.766,1520.0524943293904,3539.449538690299,coal_consumption
2022,197.559,1520.089146113448,669.4355337460951,coal_consumption
2022,24559.486,1520.0985894953076,-93.81054396050753,coal_consumption
2022,1880.5020994464944,1520.0853561356737,-19.16598462808978,coal_consumption
2022,1880.5020994464944,1520.0942789266524,-19.16551013827234,coal_consumption
2022,28.539,1520.101824767977,5226.4018527908365,coal_consumption
2022,28.679,1520.0995066981716,5200.392296447476,coal_consumption
2022,49.942,1520.0991234400021,2943.7289724880907,coal_consumption
2022,0.978,1520.0997733655115,155329.42467950017,coal_consumption
2022,1880.5020994464944,1520.0992430836868,-19.165246157868598,coal_consumption
2022,4080.453,1033.1882495490709,-74.67956990194298,gas_consumption
2022,1203.577,985.9740686845071,-18.07968508167678,gas_consumption
2022,217.857,991.0044683425007,354.88759523104636,gas_consumption
2022,130.594,998.2026038660348,664.3556395133274,gas_consumption
2022,217.139,980.0709648830469,351.3564881863907,gas_consumption
2022,619.28,976.7043939117555,57.716120964952125,gas_consumption
2022,1004.983,977.5422601979782,-2.7304680578698113,gas_consumption
2022,112.869,977.3780057374405,765.9401658005658,gas_consumption
2022,77.972,977.8556038968546,1154.1112244098583,gas_consumption
2022,1478.561465004794,978.1214899543,-33.84640996638387,gas_consumption
2022,2289.14,978.1084789629966,-57.27179294569154,gas_consumption
2022,1478.561465004794,978.0979573300874,-33.848001555558184,gas_consumption
2022,370.15,978.0849190321687,164.24015102854756,gas_consumption
2022,581.839,978.0728558063237,68.10025725438197,gas_consumption
2022,280.664,978.0714110370783,248.484811389091,gas_consumption
2022,45.145,978.072239630031,2066.5128798981746,gas_consumption
2022,443.181,978.0727809009635,120.69375286868427,gas_consumption
2022,3757.047,978.073242430333,-73.96696814199203,gas_consumption
2022,375.364,978.0733733929923,160.5666428834391,gas_consumption
2022,1478.561465004794,978.0733449764011,-33.84966617040639,gas_consumption
2022,698.482,978.0733168390218,40.0284211817945,gas_consumption
2022,483.177,978.0732987342028,102.42546700985412,gas_consumption
2022,291.98,978.07329159789,234.97955051643603,gas_consumption
2022,285.143,978.0732919477596,243.0115036833307,gas_consumption
2022,1478.561465004794,978.0732932975914,-33.84966966561514,gas_consumption
2022,538.561,507.49520997973974,-5.768295517176382,renewables_consumption
2022,572.144777879175,497.82953874715906,-12.988887079855466,renewables_consumption
2022,572.144777879175,461.2159716174298,-19.38824062555213,renewables_consumption
2022,572.144777879175,472.8567450198684,-17.353655350547324,renewables_consumption
2022,35.026,487.78218636097444,1292.6288653028446,renewables_consumption
2022,152.302,472.26672365551866,210.08570055253296,renewables_consumption
2022,620.236,473.39010283935295,-23.675810040153593,renewables_consumption
2022,19.66,475.27050307427515,2317.4491509373097,renewables_consumption
2022,341.049,474.38079011793224,39.09461400500581,renewables_consumption
2022,22.812,473.9327698869203,1977.5590473738398,renewables_consumption
